id,milestone,priority,title,owner_role,size,status,dependencies,requirement_ids,acceptance_ids,deliverable,acceptance_criteria
WX-M6-011,M6,Must,Qualify Pi and complete CLI release slice,quality_owner,M,todo,WX-M6-009;WX-M6-010,FR-150;FR-151;FR-152;FR-153;FR-154;FR-155;FR-156;NFR-M-004,AC-017;AC-018;AC-022;AC-029,M6 evidence and install instructions.,Pi can search/fetch/crawl/browser/artifact/local search with disabled-capability clarity.
WX-M7-001,M7,Must,Implement secure upload/staging and file type inspection,security_owner,L,todo,WX-M1-009;WX-M1-010,FR-110;NFR-SEC-008,,"Actor-bound chunked uploads, MIME/signature detection and archive limits.",Arbitrary host paths/path traversal/bombs are rejected; source bytes hash/commit.
WX-M7-002,M7,Must,Implement document router and unified document entity,content_owner,L,todo,WX-M7-001;WX-M1-007,FR-110;FR-116,AC-012,Route by format/scan/scholarly need with original preserved.,Fixture set selects expected engine and records route/tool versions.
WX-M7-003,M7,Must,Implement Docling adapter and outputs,content_owner,L,todo,WX-M7-002,FR-111,AC-012,"Docling JSON/Markdown, tables/figures/page locations.",Native PDF/DOCX/EPUB fixtures validate and chunks link to source locations.
WX-M7-004,M7,Should,Implement Apache Tika fast/fallback adapter,content_owner,M,todo,WX-M7-002,FR-112,AC-012,Tika metadata/text triage for broad formats.,Unsupported/fast fixture routes safely and output provenance is explicit.
WX-M7-005,M7,Must,Implement scanned-PDF detection and OCRmyPDF/Tesseract,content_owner,L,todo,WX-M7-002;WX-M0-007,FR-113,AC-012,OCR route preserving searchable PDF and OCR text provenance.,Image-only fixture becomes searchable; limits and language config work.
WX-M7-006,M7,Should,Implement GROBID scholarly route,content_owner,M,todo,WX-M7-002,FR-114,AC-012,TEI/bibliography/author/affiliation/citation artifacts.,Scholarly fixture exposes expected structured references and source coordinates.
WX-M7-007,M7,Should,Implement Pandoc conversion route,content_owner,M,todo,WX-M7-002,FR-115,,Controlled text-format conversion adapter.,Selected formats convert deterministically with no arbitrary filters/scripts.
WX-M7-008,M7,Must,Integrate document Markdown/chunks/index/wiki pipeline,data_owner,L,todo,WX-M7-003;WX-M7-005;WX-M3-004;WX-M3-011,FR-064;FR-074;FR-090;FR-116,AC-012,Document source/derivatives represented as page/version/chunks.,Eligible docs search and deliver to wiki with original/derived provenance and visibility.
WX-M7-009,M7,Must,Expose document CLI/API/Pi tools,control_plane_owner,M,todo,WX-M7-008;WX-M6-004,FR-001;FR-002;FR-116;FR-152,AC-012,inspect/convert/ocr/scholarly/chunk/table/figures interfaces.,No arbitrary filesystem path in Pi/API; bounded result and artifacts returned.
WX-M7-010,M7,Must,Add malicious/large document isolation tests,security_owner,L,todo,WX-M7-003;WX-M7-005;WX-M0-007,FR-110;FR-116;NFR-SEC-008;NFR-SEC-010,,Parser fuzz/resource/path fixtures and worker containment.,"Malformed fixtures cannot escape, execute, exceed limits or crash daemon."
WX-M7-011,M7,Must,Qualify document corpus slice,quality_owner,M,todo,WX-M7-009;WX-M7-010,FR-110;FR-111;FR-112;FR-113;FR-114;FR-115;FR-116;NFR-M-001,AC-012;AC-019,M7 mixed document acceptance evidence.,All mandatory fixtures parse/search with provenance and crash isolation.
WX-M8-001,M8,Must,Implement mediad worker and subprocess safety layer,content_owner,L,todo,WX-M4-001;WX-M7-001,FR-121;FR-122;FR-127;NFR-SEC-002,AC-019,"Bounded subprocess tree, staging, cancellation and structured adapter protocol.",No shell interpolation; worker loss leaves source/committed artifacts valid.
WX-M8-002,M8,Must,Implement yt-dlp structured metadata adapter,content_owner,L,todo,WX-M8-001;WX-M0-008,FR-120,AC-013,"`-J`/structured metadata, formats, subtitles, chapters, playlist entries.",Metadata-only fixture acquires no media payload and output is version/provenance tagged.
WX-M8-003,M8,Must,Implement authorized bounded media acquisition,content_owner,L,todo,WX-M8-002;WX-M1-004,FR-121;FR-127,AC-013;AC-018,"Format selection, finite playlists, size/duration, credential grant, cancellation.",Denied approval starts no process; no DRM bypass; limits stop acquisition safely.
WX-M8-004,M8,Must,Implement FFmpeg/ffprobe inspection and processing,content_owner,L,todo,WX-M8-001,FR-122,,Probe/remux/audio extraction/subtitle/thumbnail transformations.,Local fixtures produce deterministic metadata/derived artifacts and respect limits.
WX-M8-005,M8,Should,Implement gallery-dl image gallery adapter,content_owner,M,todo,WX-M8-001,FR-123,,Bounded gallery metadata/acquisition and image artifact manifests.,Max item/byte limits and cancellation work; filenames cannot escape staging.
WX-M8-006,M8,Should,Implement Streamlink live stream adapter,content_owner,M,todo,WX-M8-001,FR-123,,Stream discovery and finite recording with duration/byte controls.,Local live fixture stops at bound/cancel and commits partial only per contract.
WX-M8-007,M8,Should,Implement aria2 transfer adapter,content_owner,M,todo,WX-M8-001,FR-123,,Resumable checksummed bounded transfers.,Failed/resumed local transfer preserves integrity and does not execute output.
WX-M8-008,M8,Must,Implement subtitle normalization and whisper.cpp transcription,content_owner,L,todo,WX-M8-002;WX-M8-004,FR-124;FR-125,AC-014,Subtitle-first transcript pipeline and portable ASR model provenance.,Subtitle fixture avoids ASR; no-subtitle fixture uses whisper.cpp and timestamps validate.
WX-M8-009,M8,Should,Implement faster-whisper GPU transcription profile,content_owner,M,todo,WX-M8-008,FR-125,,Optional compatible ASR route with same transcript contract.,Disabled profile has no core impact; GPU fixture output maps to common schema.
WX-M8-010,M8,Must,Integrate media metadata/transcripts into corpus/index/wiki,data_owner,L,todo,WX-M8-008;WX-M3-004;WX-M3-011,FR-064;FR-090;FR-126,AC-014,Media Markdown/Docling representation and transcript chunks.,Search/wiki entries link to media source/hash/timestamps and visibility.
WX-M8-011,M8,Must,Expose and qualify media CLI/API/Pi tools,quality_owner,L,todo,WX-M8-003;WX-M8-010;WX-M6-004,FR-001;FR-002;FR-120;FR-121;FR-126;FR-152,AC-013;AC-014;AC-018;AC-019,media info/get/gallery/stream/transcribe interfaces and tests.,"Metadata-only, acquisition, transcript, approval denial, cancellation and worker crash pass."
WX-M9-001,M9,Should,Implement registered Scrapy spider adapter,retrieval_owner,L,todo,WX-M5-001;WX-M4-009,FR-105,,"Allowlisted spider registry, settings, item/artifact mapping and checkpoint.",Unregistered arbitrary spider/code rejected; fixture spider resumes and writes receipts.
WX-M9-002,M9,Should,Implement Crawl4AI corpus/deep crawl mode,content_owner,M,todo,WX-M5-004;WX-M4-009,FR-105,,RAG corpus job over accepted URLs with bounded depth/pages.,Produces derived corpus artifacts without replacing source retrieval records.
WX-M9-003,M9,Should,Implement ArchiveBox routine capture adapter,content_owner,L,todo,WX-M8-001;WX-M4-003,FR-130,AC-025,Capture metadata/HTML/PDF/screenshot/media references linked to visit/page.,Fixture capture manifests validate and partial completeness is explicit.
WX-M9-004,M9,Must,Implement Browsertrix WARC/WACZ crawl adapter,content_owner,L,todo,WX-M4-003;WX-M4-009,FR-131,AC-025,High-fidelity bounded archive crawl and archive entity.,"Fixture WACZ/WARC is committed, hashed and linked; private egress denied."
WX-M9-005,M9,Must,Implement pywb/ReplayWeb.page replay sessions,operations_owner,M,todo,WX-M9-004,FR-132,AC-025,Loopback bounded replay service and CLI/API.,Origin-off fixture replays and archived timestamp/evidence is explicit.
WX-M9-006,M9,Should,Implement native RSS/Atom discovery and ingestion,content_owner,M,todo,WX-M2-001;WX-M2-004,FR-133,AC-024,Feed candidates/items with validators and source visits.,Native fixture feed ingests only new/changed items idempotently.
WX-M9-007,M9,Should,Implement RSSHub and RSS-Bridge adapters,content_owner,M,todo,WX-M9-006,FR-133,,Self-hosted generated-feed routes with health/provider metadata.,Failure degrades to native/change detection and is explicit.
WX-M9-008,M9,Must,"Implement watches, scheduler and meaningful change detection",content_owner,L,todo,WX-M2-008;WX-M4-007;WX-M9-006,FR-134,AC-024,"Scheduled jobs, selector/main-content diff and notification event.",Meaningful fixture creates one version/diff/projections; boilerplate-only does not.
WX-M9-009,M9,Should,Integrate changedetection.io backend,content_owner,M,todo,WX-M9-008,FR-134,AC-024,Optional backend mapped into normal visits/versions.,Backend disable does not lose scheduler state; outputs follow common contracts.
WX-M9-010,M9,Should,Implement Hurl API workflow adapter,retrieval_owner,M,todo,WX-M7-001;WX-M1-004,FR-135,,Approved Hurl files/secret vars/assertions and artifacts.,Local REST/GraphQL fixture passes; mutating/secret actions require scope.
WX-M9-011,M9,Should,Implement websocat WebSocket adapter,retrieval_owner,M,todo,WX-M1-006;WX-M1-004,FR-136,,Bounded send/receive session and transcript artifact.,Private endpoints blocked; message/byte/time limits and cancellation pass.
WX-M9-012,M9,Later,Implement restricted mitmproxy recording adapter,security_owner,L,todo,WX-M9-010;WX-M1-004,FR-137,,Human-only authorized capture workflow with protected cert/profile.,Pi cannot invoke/install cert; fixture capture redacts credentials and is audited.
WX-M9-013,M9,Should,Implement YaCy and Common Crawl discovery adapters,search_owner,L,todo,WX-M3-006,FR-022;FR-023;FR-024,AC-023,"Normalized provider results, caching and evidence labels.",Provider outage is isolated; historical results are not labeled current.
WX-M9-014,M9,Must,Expose archive/monitor/network/batch CLI API Pi tools,control_plane_owner,L,todo,WX-M9-005;WX-M9-008;WX-M9-010;WX-M9-011;WX-M6-004,FR-001;FR-002;FR-152,AC-024;AC-025,Canonical commands/tools and permissions.,Dynamic Pi groups/CLI help/results conform and restricted proxy is absent from Pi.
WX-M9-015,M9,Must,Qualify full non-AI capability profile,quality_owner,L,todo,WX-M9-014;WX-M9-013,FR-022;FR-105;FR-130;FR-131;FR-132;FR-133;FR-134;FR-135;FR-136;FR-137;NFR-M-001,AC-024;AC-025;AC-029,M9 archive/watch/API/provider E2E and origin-off replay.,Enabled deterministic health fixtures pass and optional disables are explicit.
WX-M10-001,M10,Must,Implement model runtime config validation and registry,model_owner,M,todo,WX-M1-001;WX-M1-004,FR-140;FR-141;FR-142,AC-016,"Registry enum only llama_cpp/vllm, local endpoint/model allowlist.",Ollama/external endpoint/unlisted model configs fail before network call.
WX-M10-002,M10,Must,Implement OpenAI-compatible model gateway core,model_owner,L,todo,WX-M10-001;WX-M1-007,FR-141;FR-142;FR-143,AC-015,"Bounded chat/structured/embedding/rerank adapter, health/concurrency/cancel.",Fake and real runtime fixtures conform; model has no web/filesystem tools.
WX-M10-003,M10,Must,Implement llama.cpp runtime adapter and smoke profile,model_owner,M,todo,WX-M10-002;WX-M0-008,FR-141;FR-142,AC-015;AC-016,Portable runtime health/models/structured/embedding capabilities.,CPU/Apple configured smoke passes; disabled runtime has no core impact.
WX-M10-004,M10,Should,Implement vLLM runtime adapter and GPU smoke profile,model_owner,M,todo,WX-M10-002;WX-M0-008,FR-141;FR-142,AC-015;AC-016,GPU runtime health/generation/embedding/rerank capability mapping.,Supported GPU smoke passes and resource/concurrency limits are reported.
WX-M10-005,M10,Must,Implement model run records and derived artifact provenance,data_owner,L,todo,WX-M10-002;WX-M1-010,FR-143;FR-144,AC-015,Model identity/input hashes/template/schema/parameters/output edges.,Every model output resolves to immutable sources; source hash remains unchanged.
WX-M10-006,M10,Must,Implement JSON Schema constrained structured extraction,model_owner,L,todo,WX-M10-005;WX-M2-004,FR-143,AC-015,Explicit allow-AI fallback with validation/retry bounds.,Invalid model JSON/schema is rejected and never committed as valid source data.
WX-M10-007,M10,Should,"Implement derived summaries, tags, entities and classifications",content_owner,L,todo,WX-M10-005,FR-143;FR-144;FR-146,AC-015,Optional derived enrichment artifacts and labeled search/wiki integration.,Derived fields never overwrite source and can be deleted/recomputed independently.
WX-M10-008,M10,Should,Implement embedding generation and cache,model_owner,L,todo,WX-M10-003;WX-M10-004;WX-M10-005,FR-145,AC-015,Chunk embeddings keyed by source/model/schema with dimension validation.,Same inputs hit cache; model/dimension change creates separate namespace.
WX-M10-009,M10,Should,Implement Meilisearch user-provided vectors and hybrid search,search_owner,L,todo,WX-M10-008;WX-M3-007,FR-085;FR-145,AC-015,Optional semantic index settings/doc vectors/query path.,Lexical fallback works when model/vector path is disabled or fails; visibility intact.
WX-M10-010,M10,Should,Implement local reranking pipeline,search_owner,M,todo,WX-M10-004;WX-M10-009,FR-147,,Bounded candidate rerank with model provenance and timeout fallback.,"Timeout/error returns original lexical/hybrid ranking, never empty result."
WX-M10-011,M10,Must,"Implement model privacy, egress and prompt-redaction tests",security_owner,L,todo,WX-M10-002;WX-M0-007,FR-140;FR-143;FR-144;NFR-PR-001;NFR-PR-006;NFR-SEC-003,AC-015;AC-016;AC-028,Network/filesystem isolation and canary prompt/output tests.,No source body appears in logs; runtimes cannot egress/read store; forbidden runtime scan passes.
WX-M10-012,M10,Must,Qualify optional AI and hybrid degradation,quality_owner,L,todo,WX-M10-006;WX-M10-009;WX-M10-011,FR-140;FR-146;NFR-R-006,AC-015;AC-016,"Models-off, llama.cpp and vLLM profile evidence.",Core passes with models stopped; valid derived output and lexical degradation pass.
WX-M11-001,M11,Must,Instrument OpenTelemetry traces across core and workers,operations_owner,L,todo,WX-M6-001;WX-M4-001,FR-164;NFR-O-001;NFR-O-004;NFR-PR-002,,W3C trace propagation and safe spans for jobs/engines/commit/outboxes/models.,Correlation complete; source/secrets absent; sampling policy works.
WX-M11-002,M11,Must,Implement Prometheus metrics and health dashboards,operations_owner,L,todo,WX-M11-001,FR-009;FR-161;FR-164;NFR-O-002,,"Metrics catalog, Prometheus config and Grafana dashboards.",Required queue/storage/engine/index/wiki/backup metrics visible without high-cardinality leaks.
WX-M11-003,M11,Must,Implement structured log collection and redaction tests,operations_owner,M,todo,WX-M1-012;WX-M11-001,FR-164;FR-165;NFR-O-003;NFR-SEC-004,AC-028,"Service log schema, optional Loki and support bundle redaction.",Secret canaries absent; support bundle contains versions/errors/IDs only.
WX-M11-004,M11,Must,Implement local alert rules and runbook links,operations_owner,M,todo,WX-M11-002,FR-161;FR-164;NFR-O-002,,Critical/high/warning rules for integrity/disk/backup/backlog/engines/security.,Synthetic threshold tests fire and each alert links exact runbook.
WX-M11-005,M11,Must,Implement Restic backup orchestration and manifest,operations_owner,L,todo,WX-M1-010;WX-M0-008,FR-162;NFR-R-008,AC-020,Encrypted coordinated SQLite/artifact/config/outbox backup.,Daily fixture backup verifies and records manifest/hash without raw secret exposure.
WX-M11-006,M11,Must,Implement SQLite online backup and integrity verification,data_owner,M,todo,WX-M11-005;WX-M1-002,FR-162,AC-020,"Online backup API, quick/full integrity and schema checks.",Concurrent writes produce consistent restorable backup.
WX-M11-007,M11,Must,Implement Meilisearch snapshot and dump procedures,search_owner,M,todo,WX-M11-005;WX-M3-007,FR-087;FR-163,AC-020;AC-021,Same-version snapshot and pre-upgrade dump automation.,Tasks complete/verify and restore/rebuild path is documented/tested.
WX-M11-008,M11,Must,Implement full restore and reconciliation automation,operations_owner,L,todo,WX-M11-005;WX-M11-006;WX-M11-007,FR-160;FR-162;FR-163;NFR-R-009,AC-020,"Restore to empty path, verify, reconcile leases/outboxes/index/wiki.",Clean-host restore passes hashes/DB/search/wiki/doctor within RTO target.
WX-M11-009,M11,Must,"Implement retention planner, GC and artifact scrub",data_owner,L,todo,WX-M1-009;WX-M1-012,FR-073;FR-075;NFR-D-001;NFR-D-003;NFR-D-004;NFR-D-005;NFR-D-006;NFR-D-008;NFR-D-009;NFR-D-010;NFR-PR-004,,"Plan/apply/hold/delete ledger, orphan/reference/hash checks.",Routine GC cannot delete Markdown/current/legal-held/referenced source; deletion audited.
WX-M11-010,M11,Must,Harden rootless deployment and systemd units,operations_owner,L,todo,WX-M0-012;WX-M11-002,FR-044;FR-160;FR-161;NFR-SEC-002;NFR-C-001,,"Compose/systemd units, limits, mounts, networks, profiles and startup order.",Host inspection finds no public sensitive ports/home/Docker socket/root service.
WX-M11-011,M11,Must,"Implement upgrade preflight, migrations and rollback automation",operations_owner,L,todo,WX-M1-002;WX-M11-008;WX-M11-010,FR-160;FR-163;NFR-M-005,AC-021,"Version compatibility, drain, backup, migration, index switch and restore rollback.",Prior release upgrade passes; injected smoke failure restores prior release/data.
WX-M11-012,M11,Must,Implement disk backpressure and capacity forecast,operations_owner,M,todo,WX-M3-013;WX-M11-002,FR-010;NFR-S-001;NFR-P-009,,"80/90/95 thresholds, reservation and shedding order.",Disk-full fixture rejects before network/commit and preserves reads/cancel/cleanup.
WX-M11-013,M11,Must,"Run security fuzz, dependency and container hardening suite",security_owner,L,todo,WX-M11-010;WX-M0-009,FR-011;FR-044;NFR-SEC-006;NFR-SEC-010,AC-028,SBOM/CVE/secret/static/fuzz/sandbox/visibility suite.,No unresolved critical/high; exceptions have owner/expiry; adversarial tests pass.
WX-M11-014,M11,Must,"Run performance, soak and chaos qualification",quality_owner,L,todo,WX-M11-002;WX-M11-012,FR-005;FR-010;FR-161;FR-164;NFR-P-001;NFR-S-001;NFR-R-002;NFR-R-007,AC-019,"Reference load, worker kill, outage, backlog drain and leak tests.",Targets met; no busy errors/unbounded memory; optional outages do not corrupt source.
WX-M11-015,M11,Must,Complete monthly-style destructive restore drill,operations_owner,L,todo,WX-M11-008;WX-M11-014,FR-160;FR-162;FR-163;NFR-R-008;NFR-R-009,AC-020,Restore/rebuild on clean staging with evidence bundle.,Manifest/count/hash/current/wiki/doctor comparisons pass and measured RTO recorded.
WX-M12-001,M12,Must,Resolve all Must and Should backlog items or approved deferrals,product_owner,L,todo,WX-M11-015,,AC-030,Backlog closure and explicit release scope.,No silent Should omission; all blockers and risks have disposition.
WX-M12-002,M12,Must,Run clean-host CPU full release qualification,quality_owner,L,todo,WX-M12-001,FR-160;FR-161,AC-030,End-to-end install and full enabled CPU profile acceptance.,All required ACs and release-check pass from release bundle only.
WX-M12-003,M12,Must,Run NVIDIA vLLM and Apple/llama.cpp smoke profiles,quality_owner,M,todo,WX-M12-001;WX-M10-012,FR-140;FR-141;FR-142,AC-015;AC-030,Hardware profile model/runtime tests where supported.,Capabilities/limits/output/degradation are recorded; unsupported optional platform explicit.
WX-M12-004,M12,Must,Validate API CLI Pi schema compatibility and docs,technical_lead,M,todo,WX-M12-002,FR-001;FR-002;FR-150;FR-151;FR-152;NFR-C-003;NFR-M-003,AC-017;AC-022,Final generated-client/tool/help/link/example validation.,No contract drift/broken local links/stale commands; examples execute.
WX-M12-005,M12,Must,Validate no paid required services and no Ollama integration,security_owner,S,todo,WX-M12-002;WX-M10-011,FR-140;FR-141;NFR-PR-001,AC-016,Dependency/config/image/runtime audit report.,Baseline operates offline/local without paid credentials and forbidden runtime scan passes.
WX-M12-006,M12,Must,"Produce signed release bundle, SBOM, notices and checksums",operations_owner,M,todo,WX-M12-002;WX-M12-004;WX-M12-005,FR-160;FR-162;NFR-SEC-006,AC-030,Immutable distributable artifacts and evidence.,"Checksums verify, lock has digests, notices/SBOM complete, signature present when infrastructure configured."
WX-M12-007,M12,Must,"Perform upgrade, rollback, backup, restore and reindex rehearsal",operations_owner,L,todo,WX-M12-006,FR-087;FR-160;FR-162;FR-163,AC-009;AC-020;AC-021,Release candidate operational rehearsal.,All rehearsals pass using published runbooks and release bundle.
WX-M12-008,M12,Must,Conduct final security and privacy review,security_owner,L,todo,WX-M12-007,FR-011;FR-074;FR-086;FR-095;FR-155,AC-005;AC-011;AC-026;AC-028,Threat model/control/test/risk evidence review.,No open critical/high issue; privacy/visibility/tombstone/credential evidence accepted.
WX-M12-009,M12,Must,Conduct operator runbook usability test,operations_owner,M,todo,WX-M12-007,FR-160;FR-161,AC-020;AC-030,New operator installs/uses/restores without undocumented knowledge.,Operator completes required tasks following docs only and ambiguities are corrected.
WX-M12-010,M12,Must,Approve 1.0 release and archive evidence,product_owner,S,todo,WX-M12-008;WX-M12-009,,AC-030,"Release decision, notes, known limitations, evidence hash and rollback version.",Product/technical/security/operations owners sign release record and publish artifacts.
